season,mnth,hr,holiday,weekday,workingday,weathersit,atemp,hum,windspeed,cnt,day
1,1,17,0,0,0,1,0.3333,0.57,0.194,65,02
1,1,18,0,0,0,2,0.3333,0.46,0.3284,53,02
1,1,19,0,0,0,1,0.2879,0.42,0.4478,30,02
1,1,20,0,0,0,1,0.2727,0.39,0.3582,22,02
1,1,21,0,0,0,1,0.2273,0.44,0.3284,31,02
1,1,22,0,0,0,1,0.2121,0.44,0.2985,9,02
1,1,23,0,0,0,1,0.2273,0.47,0.1642,8,02
1,1,0,0,1,1,1,0.197,0.44,0.3582,5,03
1,1,1,0,1,1,1,0.1667,0.44,0.4179,2,03
1,1,4,0,1,1,1,0.1364,0.47,0.3881,1,03
1,1,5,0,1,1,1,0.1364,0.47,0.2836,3,03
1,1,6,0,1,1,1,0.1061,0.5,0.3881,30,03
1,1,7,0,1,1,1,0.1364,0.5,0.194,64,03
1,1,8,0,1,1,1,0.1212,0.5,0.2836,154,03
1,1,9,0,1,1,1,0.1364,0.43,0.3881,88,03
1,1,10,0,1,1,1,0.1667,0.43,0.2537,44,03
1,1,11,0,1,1,1,0.1818,0.4,0.3284,51,03
1,1,12,0,1,1,1,0.2121,0.35,0.2985,61,03
1,1,13,0,1,1,1,0.2121,0.35,0.2836,61,03
1,1,14,0,1,1,1,0.2424,0.3,0.2836,77,03
1,1,15,0,1,1,1,0.2424,0.3,0.2537,72,03
1,1,16,0,1,1,1,0.2424,0.3,0.2537,76,03
1,1,17,0,1,1,1,0.2273,0.3,0.2239,157,03
1,1,18,0,1,1,1,0.2576,0.32,0.1045,157,03
1,1,19,0,1,1,1,0.2576,0.47,0.0,110,03
1,1,20,0,1,1,1,0.2273,0.47,0.1045,52,03
1,1,21,0,1,1,1,0.197,0.64,0.1343,52,03
1,1,22,0,1,1,1,0.1515,0.69,0.1343,20,03
1,1,23,0,1,1,1,0.2121,0.55,0.1045,12,03
1,1,0,0,2,1,1,0.1818,0.55,0.1045,5,04
1,1,1,0,2,1,1,0.1818,0.59,0.1045,2,04
1,1,2,0,2,1,1,0.1515,0.63,0.1343,1,04
1,1,4,0,2,1,1,0.1818,0.63,0.0896,2,04
1,1,5,0,2,1,1,0.1515,0.68,0.1045,4,04
1,1,6,0,2,1,1,0.1515,0.74,0.1045,36,04
1,1,7,0,2,1,1,0.1515,0.74,0.1343,94,04
1,1,8,0,2,1,1,0.1515,0.69,0.1642,179,04
1,1,9,0,2,1,1,0.1515,0.64,0.2239,100,04
1,1,10,0,2,1,2,0.1364,0.69,0.3284,42,04
1,1,11,0,2,1,1,0.2121,0.51,0.2985,57,04
1,1,12,0,2,1,1,0.2273,0.51,0.1642,78,04
1,1,13,0,2,1,1,0.2273,0.56,0.194,97,04
1,1,14,0,2,1,1,0.2576,0.52,0.2239,63,04
1,1,15,0,2,1,1,0.2727,0.52,0.2537,65,04
1,1,16,0,2,1,1,0.2879,0.49,0.2537,83,04
1,1,17,0,2,1,1,0.2727,0.48,0.2239,212,04
1,1,18,0,2,1,1,0.2576,0.48,0.194,182,04
1,1,19,0,2,1,1,0.2576,0.48,0.1045,112,04
1,1,20,0,2,1,1,0.2576,0.48,0.1045,54,04
1,1,21,0,2,1,1,0.2727,0.64,0.0,48,04
1,1,22,0,2,1,1,0.2576,0.64,0.0896,35,04
1,1,23,0,2,1,1,0.2273,0.69,0.0896,11,04
1,1,0,0,3,1,1,0.2576,0.64,0.0,6,05
1,1,1,0,3,1,1,0.197,0.74,0.0896,6,05
1,1,2,0,3,1,1,0.197,0.74,0.0896,2,05
1,1,4,0,3,1,1,0.2273,0.48,0.2239,2,05
1,1,5,0,3,1,1,0.2273,0.47,0.1642,3,05
1,1,6,0,3,1,1,0.197,0.47,0.2239,33,05
1,1,7,0,3,1,1,0.1818,0.43,0.194,88,05
1,1,8,0,3,1,1,0.1818,0.4,0.2985,195,05
1,1,9,0,3,1,1,0.197,0.37,0.3284,115,05
1,1,10,0,3,1,1,0.197,0.37,0.3284,57,05
1,1,11,0,3,1,1,0.2273,0.33,0.3284,46,05
1,1,12,0,3,1,1,0.2273,0.33,0.3284,79,05
1,1,13,0,3,1,1,0.2576,0.3,0.2985,71,05
1,1,14,0,3,1,1,0.2879,0.28,0.194,62,05
1,1,15,0,3,1,1,0.2879,0.28,0.194,62,05
1,1,16,0,3,1,1,0.3182,0.28,0.0896,89,05
1,1,17,0,3,1,1,0.2273,0.38,0.194,190,05
1,1,18,0,3,1,1,0.2424,0.38,0.1343,169,05
1,1,19,0,3,1,1,0.2576,0.38,0.1045,132,05
1,1,20,0,3,1,1,0.2273,0.47,0.1642,89,05
1,1,21,0,3,1,1,0.197,0.51,0.194,43,05
1,1,22,0,3,1,1,0.197,0.55,0.1343,42,05
1,1,23,0,3,1,1,0.2576,0.47,0.0,19,05
1,1,0,0,4,1,1,0.2424,0.55,0.0,11,06
1,1,1,0,4,1,1,0.2273,0.64,0.0,4,06
1,1,2,0,4,1,1,0.2273,0.64,0.0,2,06
1,1,4,0,4,1,2,0.197,0.64,0.0896,1,06
1,1,5,0,4,1,2,0.1818,0.69,0.0896,4,06
1,1,6,0,4,1,2,0.1667,0.63,0.1045,36,06
1,1,7,0,4,1,2,0.2273,0.59,0.0,95,06
1,1,8,0,4,1,1,0.2273,0.59,0.0,219,06
1,1,9,0,4,1,2,0.2424,0.51,0.0,122,06
1,1,10,0,4,1,1,0.2576,0.47,0.0,45,06
1,1,11,0,4,1,1,0.2576,0.44,0.0896,59,06
1,1,12,0,4,1,1,0.2879,0.35,0.0,84,06
1,1,13,0,4,1,1,0.2727,0.35,0.1045,67,06
1,1,14,0,4,1,1,0.2727,0.36,0.1642,70,06
1,1,15,0,4,1,1,0.2727,0.36,0.0,62,06
1,1,16,0,4,1,1,0.2576,0.38,0.1642,86,06
1,1,17,0,4,1,1,0.2273,0.51,0.1642,172,06
1,1,18,0,4,1,1,0.2273,0.51,0.1343,163,06
1,1,19,0,4,1,1,0.2576,0.55,0.0896,112,06
1,1,20,0,4,1,1,0.2121,0.51,0.1642,69,06
1,1,21,0,4,1,2,0.2121,0.55,0.2239,48,06
1,1,22,0,4,1,2,0.2121,0.51,0.2836,52,06
1,1,23,0,4,1,2,0.197,0.59,0.194,23,06
1,1,0,0,5,1,2,0.197,0.64,0.194,17,07
1,1,1,0,5,1,2,0.197,0.69,0.2239,7,07
1,1,2,0,5,1,2,0.197,0.69,0.2239,1,07
1,1,4,0,5,1,2,0.2121,0.69,0.1343,1,07
1,1,5,0,5,1,3,0.2727,0.55,0.0,5,07
1,1,6,0,5,1,2,0.2576,0.69,0.0,34,07
1,1,7,0,5,1,1,0.2121,0.69,0.1343,84,07
1,1,8,0,5,1,1,0.197,0.51,0.2537,210,07
1,1,9,0,5,1,1,0.1818,0.47,0.2985,134,07
1,1,10,0,5,1,1,0.197,0.37,0.3284,63,07
1,1,11,0,5,1,2,0.197,0.4,0.2239,67,07
1,1,12,0,5,1,2,0.197,0.37,0.2537,59,07
1,1,13,0,5,1,2,0.1818,0.37,0.2836,73,07
1,1,14,0,5,1,2,0.197,0.4,0.2537,50,07
1,1,15,0,5,1,2,0.2121,0.37,0.1642,72,07
1,1,16,0,5,1,2,0.2121,0.37,0.1642,87,07
1,1,17,0,5,1,2,0.2576,0.37,0.0,187,07
1,1,18,0,5,1,1,0.2273,0.4,0.0896,123,07
1,1,19,0,5,1,1,0.197,0.55,0.0896,95,07
1,1,20,0,5,1,1,0.2121,0.47,0.1045,51,07
1,1,21,0,5,1,1,0.197,0.47,0.1343,39,07
1,1,22,0,5,1,2,0.197,0.43,0.1642,36,07
1,1,23,0,5,1,2,0.197,0.51,0.1642,15,07
1,1,0,0,6,0,2,0.197,0.51,0.1642,25,08
1,1,1,0,6,0,2,0.2121,0.55,0.0896,16,08
1,1,2,0,6,0,2,0.2424,0.55,0.0,16,08
1,1,3,0,6,0,3,0.197,0.55,0.1642,7,08
1,1,4,0,6,0,3,0.197,0.55,0.1642,1,08
1,1,5,0,6,0,2,0.1667,0.74,0.1642,5,08
1,1,6,0,6,0,2,0.1667,0.74,0.1642,2,08
1,1,7,0,6,0,2,0.1818,0.74,0.1045,9,08
1,1,8,0,6,0,3,0.1818,0.93,0.1045,15,08
1,1,9,0,6,0,3,0.1818,0.93,0.1045,20,08
1,1,10,0,6,0,2,0.197,0.8,0.1642,61,08
1,1,11,0,6,0,2,0.1818,0.69,0.3881,62,08
1,1,12,0,6,0,2,0.1818,0.59,0.3582,98,08
1,1,13,0,6,0,1,0.1818,0.44,0.3284,102,08
1,1,14,0,6,0,1,0.1667,0.32,0.4925,95,08
1,1,15,0,6,0,1,0.1667,0.32,0.4478,74,08
1,1,16,0,6,0,1,0.1364,0.29,0.4478,76,08
1,1,17,0,6,0,1,0.1212,0.37,0.5522,69,08
1,1,18,0,6,0,1,0.1212,0.39,0.2985,55,08
1,1,19,0,6,0,1,0.1212,0.36,0.2537,30,08
1,1,20,0,6,0,1,0.1212,0.36,0.2537,28,08
1,1,21,0,6,0,1,0.1061,0.39,0.3582,37,08
1,1,22,0,6,0,1,0.1061,0.36,0.3881,34,08
1,1,23,0,6,0,1,0.0606,0.39,0.4478,22,08
1,1,0,0,0,0,1,0.0758,0.42,0.3881,25,09
1,1,1,0,0,0,1,0.0606,0.42,0.4627,12,09
1,1,2,0,0,0,1,0.0606,0.46,0.4627,11,09
1,1,3,0,0,0,1,0.0758,0.46,0.4179,4,09
1,1,4,0,0,0,1,0.0909,0.53,0.194,1,09
1,1,5,0,0,0,1,0.0909,0.53,0.194,1,09
1,1,6,0,0,0,1,0.0909,0.49,0.2836,1,09
1,1,7,0,0,0,1,0.0909,0.53,0.194,6,09
1,1,8,0,0,0,1,0.0909,0.49,0.2836,10,09
1,1,9,0,0,0,1,0.0758,0.46,0.5224,19,09
1,1,10,0,0,0,1,0.1061,0.43,0.3881,49,09
1,1,11,0,0,0,1,0.1212,0.4,0.5224,49,09
1,1,12,0,0,0,1,0.1364,0.37,0.4478,83,09
1,1,13,0,0,0,1,0.1667,0.34,0.4478,75,09
1,1,14,0,0,0,1,0.1818,0.32,0.4627,72,09
1,1,15,0,0,0,1,0.197,0.35,0.3582,82,09
1,1,16,0,0,0,1,0.1667,0.34,0.4478,92,09
1,1,17,0,0,0,1,0.1515,0.37,0.3881,62,09
1,1,18,0,0,0,1,0.1364,0.4,0.3284,48,09
1,1,19,0,0,0,1,0.1364,0.43,0.3284,41,09
1,1,20,0,0,0,1,0.1212,0.46,0.2537,38,09
1,1,21,0,0,0,1,0.1061,0.46,0.4179,20,09
1,1,22,0,0,0,1,0.1212,0.46,0.2985,15,09
1,1,23,0,0,0,1,0.1364,0.5,0.194,6,09
1,1,0,0,1,1,1,0.1212,0.5,0.2836,5,10
1,1,1,0,1,1,1,0.1212,0.5,0.2836,1,10
1,1,2,0,1,1,1,0.1212,0.5,0.2239,3,10
1,1,3,0,1,1,1,0.1212,0.5,0.2239,1,10
1,1,4,0,1,1,1,0.1212,0.54,0.1343,3,10
1,1,5,0,1,1,1,0.1061,0.54,0.2537,3,10
1,1,6,0,1,1,1,0.1212,0.5,0.2836,31,10
1,1,7,0,1,1,1,0.1212,0.5,0.2239,77,10
1,1,8,0,1,1,2,0.1212,0.5,0.2836,188,10
1,1,9,0,1,1,2,0.1212,0.5,0.2537,94,10
1,1,10,0,1,1,2,0.1212,0.5,0.2985,31,10
1,1,11,0,1,1,2,0.1364,0.47,0.2836,30,10
1,1,12,0,1,1,2,0.1818,0.4,0.2836,52,10
1,1,13,0,1,1,2,0.1818,0.4,0.2836,54,10
1,1,14,0,1,1,2,0.197,0.4,0.2239,47,10
1,1,15,0,1,1,2,0.197,0.4,0.2239,45,10
1,1,16,0,1,1,1,0.2121,0.4,0.1343,74,10
1,1,17,0,1,1,1,0.2273,0.4,0.1045,178,10
1,1,18,0,1,1,1,0.197,0.4,0.2239,155,10
1,1,19,0,1,1,1,0.1667,0.47,0.1642,95,10
1,1,20,0,1,1,1,0.1667,0.5,0.1642,74,10
1,1,21,0,1,1,1,0.1364,0.59,0.194,38,10
1,1,22,0,1,1,1,0.1515,0.59,0.1642,24,10
1,1,23,0,1,1,1,0.1515,0.59,0.1642,18,10
1,1,0,0,2,1,1,0.1667,0.59,0.1045,12,11
1,1,1,0,2,1,1,0.1515,0.59,0.1642,3,11
1,1,2,0,2,1,2,0.1515,0.55,0.194,3,11
1,1,5,0,2,1,2,0.1818,0.55,0.1343,6,11
1,1,6,0,2,1,2,0.1818,0.55,0.1343,27,11
1,1,7,0,2,1,2,0.2273,0.55,0.0,99,11
1,1,8,0,2,1,2,0.2121,0.51,0.0896,217,11
1,1,9,0,2,1,2,0.197,0.51,0.1642,130,11
1,1,10,0,2,1,2,0.2121,0.51,0.1642,54,11
1,1,11,0,2,1,2,0.2121,0.47,0.1343,35,11
1,1,12,0,2,1,2,0.2273,0.51,0.1045,57,11
1,1,13,0,2,1,2,0.2273,0.59,0.0896,52,11
1,1,14,0,2,1,2,0.2273,0.59,0.0896,63,11
1,1,15,0,2,1,2,0.197,0.8,0.0896,47,11
1,1,16,0,2,1,2,0.1515,0.86,0.2239,76,11
1,1,17,0,2,1,2,0.1515,0.86,0.2239,136,11
1,1,18,0,2,1,3,0.1818,0.93,0.1045,95,11
1,1,19,0,2,1,3,0.2273,0.93,0.0,51,11
1,1,20,0,2,1,3,0.1515,0.93,0.194,32,11
1,1,21,0,2,1,3,0.197,0.86,0.0896,20,11
1,1,22,0,2,1,3,0.1818,0.93,0.1045,29,11
1,1,23,0,2,1,3,0.197,0.93,0.0896,19,11
1,1,0,0,3,1,2,0.197,0.86,0.0896,7,12
1,1,1,0,3,1,2,0.1818,0.86,0.1045,6,12
1,1,2,0,3,1,1,0.1515,0.86,0.1343,1,12
1,1,5,0,3,1,1,0.1515,0.86,0.1642,5,12
1,1,6,0,3,1,1,0.1515,0.93,0.1343,16,12
1,1,7,0,3,1,1,0.1515,0.69,0.1343,54,12
1,1,8,0,3,1,1,0.1667,0.59,0.1642,128,12
1,1,9,0,3,1,1,0.1364,0.59,0.3284,81,12
1,1,10,0,3,1,1,0.1818,0.55,0.2239,39,12
1,1,11,0,3,1,1,0.1818,0.51,0.3881,35,12
1,1,12,0,3,1,1,0.1515,0.47,0.5821,55,12
1,1,13,0,3,1,1,0.197,0.44,0.3582,49,12
1,1,14,0,3,1,1,0.1818,0.47,0.3284,44,12
1,1,15,0,3,1,1,0.1667,0.47,0.4179,49,12
1,1,16,0,3,1,1,0.197,0.44,0.3284,68,12
1,1,17,0,3,1,1,0.1818,0.47,0.3582,139,12
1,1,18,0,3,1,1,0.1515,0.47,0.5224,137,12
1,1,19,0,3,1,1,0.1515,0.47,0.4179,83,12
1,1,20,0,3,1,1,0.1364,0.5,0.3284,56,12
1,1,21,0,3,1,1,0.1364,0.55,0.3284,57,12
1,1,22,0,3,1,1,0.1212,0.55,0.4478,33,12
1,1,23,0,3,1,1,0.1061,0.59,0.4179,20,12
1,1,0,0,4,1,1,0.1212,0.59,0.2836,7,13
1,1,1,0,4,1,1,0.1212,0.5,0.2836,2,13
1,1,2,0,4,1,1,0.1212,0.5,0.3582,2,13
1,1,3,0,4,1,1,0.1212,0.5,0.3284,3,13
1,1,4,0,4,1,1,0.1212,0.5,0.2537,4,13
1,1,5,0,4,1,1,0.1212,0.5,0.2985,3,13
1,1,6,0,4,1,1,0.1515,0.54,0.1343,28,13
1,1,7,0,4,1,1,0.1515,0.54,0.1343,72,13
1,1,8,0,4,1,1,0.1364,0.5,0.194,202,13
1,1,9,0,4,1,1,0.1212,0.5,0.3284,139,13
1,1,10,0,4,1,2,0.1364,0.5,0.3582,38,13
1,1,11,0,4,1,2,0.1667,0.44,0.4478,37,13
1,1,12,0,4,1,1,0.1667,0.44,0.4179,52,13
1,1,13,0,4,1,1,0.197,0.41,0.4478,83,13
1,1,14,0,4,1,1,0.197,0.41,0.3881,42,13
1,1,15,0,4,1,1,0.2121,0.38,0.2985,60,13
1,1,16,0,4,1,1,0.2121,0.38,0.3582,78,13
1,1,17,0,4,1,1,0.1818,0.4,0.2836,162,13
1,1,18,0,4,1,1,0.1818,0.4,0.3284,144,13
1,1,19,0,4,1,1,0.1515,0.47,0.2537,99,13
1,1,20,0,4,1,1,0.1515,0.47,0.2239,64,13
1,1,21,0,4,1,1,0.1212,0.46,0.2985,40,13
1,1,22,0,4,1,1,0.1212,0.46,0.3284,30,13
1,1,23,0,4,1,1,0.1364,0.5,0.194,15,13
1,1,0,0,5,1,1,0.1364,0.5,0.194,14,14
1,1,1,0,5,1,1,0.1212,0.54,0.1642,5,14
1,1,2,0,5,1,1,0.1212,0.54,0.1343,1,14
1,1,3,0,5,1,1,0.1364,0.54,0.1045,1,14
1,1,5,0,5,1,1,0.1364,0.54,0.0896,8,14
1,1,6,0,5,1,1,0.1818,0.54,0.0,17,14
1,1,7,0,5,1,1,0.1212,0.74,0.1642,70,14
1,1,8,0,5,1,1,0.1667,0.68,0.0,158,14
1,1,9,0,5,1,1,0.1515,0.69,0.1343,117,14
1,1,10,0,5,1,1,0.1818,0.55,0.194,44,14
1,1,11,0,5,1,1,0.1667,0.51,0.2836,53,14
1,1,12,0,5,1,1,0.197,0.44,0.2537,61,14
1,1,13,0,5,1,1,0.197,0.37,0.3881,77,14
1,1,14,0,5,1,1,0.2121,0.41,0.2836,64,14
1,1,15,0,5,1,1,0.2424,0.38,0.1642,68,14
1,1,16,0,5,1,1,0.2424,0.41,0.1045,90,14
1,1,17,0,5,1,1,0.2273,0.41,0.1642,159,14
1,1,18,0,5,1,1,0.2576,0.47,0.0,139,14
1,1,19,0,5,1,1,0.197,0.59,0.0896,92,14
1,1,20,0,5,1,1,0.2424,0.59,0.0,68,14
1,1,21,0,5,1,1,0.2273,0.69,0.0,52,14
1,1,22,0,5,1,2,0.2273,0.69,0.0,36,14
1,1,23,0,5,1,2,0.2424,0.55,0.0,27,14
1,1,0,0,6,0,1,0.2424,0.55,0.0,28,15
1,1,1,0,6,0,2,0.197,0.59,0.0896,20,15
1,1,2,0,6,0,2,0.197,0.59,0.0896,12,15
1,1,3,0,6,0,2,0.2273,0.59,0.0,8,15
1,1,4,0,6,0,2,0.2273,0.59,0.0,5,15
1,1,5,0,6,0,1,0.2273,0.59,0.0,1,15
1,1,6,0,6,0,1,0.1667,0.63,0.1045,3,15
1,1,7,0,6,0,1,0.2121,0.63,0.0,10,15
1,1,8,0,6,0,1,0.1515,0.63,0.1343,23,15
1,1,9,0,6,0,1,0.1818,0.64,0.1343,33,15
1,1,10,0,6,0,1,0.197,0.59,0.1642,59,15
1,1,11,0,6,0,1,0.197,0.55,0.2239,72,15
1,1,12,0,6,0,1,0.2273,0.48,0.2239,89,15
1,1,13,0,6,0,1,0.2576,0.38,0.2985,101,15
1,1,14,0,6,0,1,0.2879,0.39,0.2836,118,15
1,1,15,0,6,0,2,0.3182,0.36,0.194,129,15
1,1,16,0,6,0,2,0.3333,0.34,0.194,128,15
1,1,17,0,6,0,2,0.303,0.36,0.2836,83,15
1,1,18,0,6,0,2,0.2879,0.45,0.2537,84,15
1,1,19,0,6,0,2,0.303,0.39,0.2537,74,15
1,1,20,0,6,0,2,0.303,0.39,0.2537,41,15
1,1,21,0,6,0,2,0.303,0.39,0.2239,57,15
1,1,22,0,6,0,2,0.3182,0.42,0.1045,26,15
1,1,23,0,6,0,1,0.2879,0.45,0.2836,44,15
1,1,0,0,0,0,1,0.303,0.56,0.0,39,16
1,1,1,0,0,0,1,0.2727,0.56,0.1343,23,16
1,1,2,0,0,0,1,0.2879,0.56,0.0896,16,16
1,1,3,0,0,0,1,0.2727,0.69,0.0,15,16
1,1,4,0,0,0,1,0.2576,0.56,0.1642,1,16
1,1,5,0,0,0,2,0.2576,0.56,0.1642,2,16
1,1,6,0,0,0,2,0.2576,0.56,0.1642,1,16
1,1,7,0,0,0,2,0.2121,0.56,0.2985,3,16
1,1,8,0,0,0,1,0.2121,0.55,0.2836,18,16
1,1,9,0,0,0,1,0.2121,0.51,0.2537,32,16
1,1,10,0,0,0,1,0.2121,0.51,0.2836,79,16
1,1,11,0,0,0,1,0.2273,0.44,0.2537,93,16
1,1,12,0,0,0,1,0.2121,0.41,0.2836,104,16
1,1,13,0,0,0,1,0.2273,0.35,0.2985,118,16
1,1,14,0,0,0,1,0.2727,0.36,0.2537,91,16
1,1,15,0,0,0,1,0.2424,0.38,0.2537,113,16
1,1,16,0,0,0,1,0.2273,0.38,0.2239,99,16
1,1,17,0,0,0,1,0.2121,0.37,0.2537,105,16
1,1,18,0,0,0,1,0.2121,0.4,0.1642,67,16
1,1,19,0,0,0,1,0.197,0.47,0.1343,61,16
1,1,20,0,0,0,1,0.197,0.47,0.1642,57,16
1,1,21,0,0,0,1,0.197,0.51,0.1642,28,16
1,1,22,0,0,0,2,0.2121,0.49,0.1343,21,16
1,1,23,0,0,0,2,0.2273,0.4,0.1045,18,16
1,1,0,1,1,0,2,0.197,0.47,0.2239,17,17
1,1,1,1,1,0,2,0.197,0.44,0.194,16,17
1,1,2,1,1,0,2,0.1667,0.43,0.2537,8,17
1,1,3,1,1,0,2,0.1818,0.43,0.194,2,17
1,1,4,1,1,0,2,0.197,0.43,0.1343,3,17
1,1,5,1,1,0,2,0.197,0.43,0.1642,1,17
1,1,6,1,1,0,2,0.1818,0.43,0.194,5,17
1,1,7,1,1,0,2,0.1818,0.5,0.1343,13,17
1,1,8,1,1,0,2,0.1515,0.47,0.2239,33,17
1,1,9,1,1,0,2,0.1515,0.47,0.2239,47,17
1,1,10,1,1,0,2,0.1515,0.5,0.2537,57,17
1,1,11,1,1,0,2,0.1515,0.55,0.194,64,17
1,1,12,1,1,0,2,0.197,0.47,0.1343,80,17
1,1,13,1,1,0,2,0.197,0.47,0.1343,93,17
1,1,14,1,1,0,2,0.2121,0.43,0.1045,86,17
1,1,15,1,1,0,2,0.2121,0.47,0.1642,93,17
1,1,16,1,1,0,2,0.2121,0.47,0.1642,82,17
1,1,17,1,1,0,1,0.197,0.51,0.194,71,17
1,1,18,1,1,0,2,0.1667,0.55,0.2537,92,17
1,1,19,1,1,0,3,0.1818,0.59,0.194,60,17
1,1,20,1,1,0,3,0.1515,0.8,0.194,33,17
1,1,21,1,1,0,3,0.1515,0.8,0.194,27,17
1,1,22,1,1,0,3,0.1212,0.93,0.2537,13,17
1,1,23,1,1,0,3,0.1364,0.86,0.2836,4,17
1,1,12,0,2,1,2,0.1818,0.86,0.3284,3,18
1,1,13,0,2,1,2,0.197,0.86,0.2239,22,18
1,1,14,0,2,1,2,0.2273,0.8,0.1642,28,18
1,1,15,0,2,1,2,0.2273,0.87,0.1642,35,18
1,1,16,0,2,1,2,0.2273,0.87,0.194,61,18
1,1,17,0,2,1,2,0.2273,0.82,0.194,125,18
1,1,18,0,2,1,2,0.2273,0.8,0.1642,133,18
1,1,19,0,2,1,2,0.2273,0.8,0.1343,99,18
1,1,20,0,2,1,2,0.2727,0.87,0.0,83,18
1,1,21,0,2,1,2,0.2424,0.93,0.1045,41,18
1,1,22,0,2,1,2,0.2576,0.93,0.0896,33,18
1,1,23,0,2,1,2,0.2727,0.93,0.0,20,18
1,1,0,0,3,1,2,0.2727,0.93,0.0,3,19
1,1,1,0,3,1,3,0.2273,0.93,0.1343,7,19
1,1,2,0,3,1,3,0.2273,0.93,0.1343,3,19
1,1,4,0,3,1,3,0.2273,0.93,0.1343,2,19
1,1,5,0,3,1,2,0.2576,0.93,0.0896,7,19
1,1,6,0,3,1,2,0.2576,0.93,0.0896,32,19
1,1,7,0,3,1,2,0.2576,0.92,0.1045,90,19
1,1,8,0,3,1,2,0.2576,0.93,0.1045,197,19
1,1,9,0,3,1,2,0.2576,0.93,0.1045,109,19
1,1,10,0,3,1,2,0.2727,0.93,0.1343,47,19
1,1,11,0,3,1,2,0.303,0.87,0.0896,52,19
1,1,12,0,3,1,2,0.3182,0.81,0.0896,70,19
1,1,13,0,3,1,1,0.4091,0.62,0.2836,78,19
1,1,14,0,3,1,1,0.4091,0.58,0.2537,75,19
1,1,15,0,3,1,1,0.4091,0.54,0.2836,82,19
1,1,16,0,3,1,1,0.3939,0.58,0.3881,104,19
1,1,17,0,3,1,1,0.3333,0.57,0.3284,197,19
1,1,18,0,3,1,1,0.3182,0.61,0.2836,161,19
1,1,19,0,3,1,1,0.2879,0.57,0.4179,112,19
1,1,20,0,3,1,1,0.303,0.49,0.2985,76,19
1,1,21,0,3,1,1,0.2879,0.49,0.4179,59,19
1,1,22,0,3,1,1,0.303,0.52,0.1642,59,19
1,1,23,0,3,1,1,0.2727,0.52,0.4627,28,19
1,1,0,0,4,1,1,0.2273,0.56,0.3881,13,20
1,1,1,0,4,1,1,0.2727,0.56,0.0,5,20
1,1,2,0,4,1,1,0.2727,0.56,0.0,2,20
1,1,3,0,4,1,1,0.2576,0.56,0.1642,1,20
1,1,4,0,4,1,1,0.2576,0.56,0.1642,1,20
1,1,5,0,4,1,1,0.2273,0.6,0.2239,6,20
1,1,6,0,4,1,1,0.2121,0.6,0.2239,35,20
1,1,7,0,4,1,1,0.2121,0.55,0.2239,101,20
